Turkey,2154
Azerbaijan,1891
United States,1110
Germany,1035
United Kingdom,625
France,465
Netherlands,424
Russia,338
Italy,226
Iran,169
Bulgaria,166
Austria,164
Romania,116
Poland,96
Canada,93
Spain,86
Sweden,85
Switzerland,83
Ukraine,80
Saudi Arabia,78
Greece,76
Belgium,70
Japan,63
Serbia,63
Denmark,62
Macedonia,61
Kazakhstan,58
Iraq,55
Singapore,54
Brazil,53
Europe,52
Georgia,52
Bosnia and Herzegovina,46
Philippines,45
Australia,44
Republic of Korea,44
Albania,41
Finland,39
Egypt,36
Morocco,31
China,30
Israel,30
Turkmenistan,29
Peru,26
Czechia,26
Norway,24
Malaysia,23
Hungary,23
Tunisia,22
Afghanistan,21
India,20
Indonesia,20
Hong Kong,20
United Arab Emirates,19
Thailand,19
Croatia,19
Algeria,18
Chile,17
Cyprus,17
Slovakia,15
Belarus,15
Republic of Lithuania,15
Lebanon,15
Kyrgyzstan,15
Mexico,14
Pakistan,13
Ireland,12
Bangladesh,11
Vietnam,11
Colombia,11
Taiwan,11
Kuwait,10
Luxembourg,10
Hashemite Kingdom of Jordan,10
Uzbekistan,10
Montenegro,9
Portugal,9
Argentina,8
Republic of Moldova,8
Nigeria,8
New Zealand,7
Libya,7
Qatar,7
Malta,7
Bolivia,5
Estonia,5
South Africa,4
Sudan,4
Latvia,4
Slovenia,3
Tanzania,3
Armenia,3
Puerto Rico,3
Venezuela,3
Iceland,3
Cambodia,2
Oman,2
Uruguay,2
Tajikistan,2
Mongolia,2
Senegal,2
Costa Rica,2
Seychelles,2
Syria,2
Myanmar,2
Ethiopia,1
Bahrain,1
Gabon,1
Monaco,1
Yemen,1
Somalia,1
Réunion,1
Dominican Republic,1
Ghana,1
Mali,1
Mauritius,1
Macao,1
Liechtenstein,1
Uganda,1
Guinea,1
Ecuador,1
Brunei,1
Kosovo,1
Maldives,1
Martinique,1
Trinidad and Tobago,1
Paraguay,1
