Turkey,177573
Finland,13470
United States,6071
Germany,3937
Azerbaijan,3569
France,1462
Netherlands,1294
United Kingdom,1232
Belgium,1094
Russia,843
Canada,648
Poland,626
Bulgaria,593
Romania,579
Austria,451
Switzerland,405
Italy,376
Iran,344
Japan,321
Singapore,307
Ukraine,294
Sweden,292
Serbia,287
Brazil,229
Europe,220
Spain,213
Israel,187
Saudi Arabia,170
Australia,161
Greece,160
Denmark,159
Egypt,147
Republic of Moldova,145
Chile,140
Belarus,135
Morocco,118
Macedonia,116
India,113
China,111
Czechia,111
Georgia,105
Kazakhstan,104
Mexico,98
Norway,96
Hong Kong,96
Republic of Korea,82
Kosovo,82
Iraq,81
Argentina,77
Albania,65
Bosnia and Herzegovina,62
Croatia,62
Ireland,55
Cyprus,55
Peru,52
Thailand,52
Colombia,51
United Arab Emirates,50
Kyrgyzstan,50
Hungary,48
Indonesia,46
Nigeria,43
Algeria,43
Iceland,43
Turkmenistan,40
Tunisia,38
Pakistan,35
Portugal,28
Slovakia,27
Costa Rica,25
Taiwan,25
Qatar,24
Cambodia,22
Slovenia,20
Philippines,20
Panama,19
Bahrain,18
Latvia,17
Afghanistan,16
Republic of Lithuania,15
Bangladesh,15
South Africa,15
New Zealand,14
Montenegro,14
Malta,14
Vietnam,13
Kenya,12
Malaysia,12
Uzbekistan,12
Tajikistan,11
Hashemite Kingdom of Jordan,11
Armenia,9
Luxembourg,9
Honduras,9
Macao,8
Palestine,8
Oman,8
Angola,8
Estonia,8
Sudan,8
Bolivia,7
Puerto Rico,6
Lebanon,5
Kuwait,4
Cameroon,3
Ecuador,3
Nepal,3
Maldives,3
Ghana,2
Tanzania,2
Trinidad and Tobago,2
Mongolia,2
Ivory Coast,2
Nicaragua,2
Uganda,2
Guyana,2
Bahamas,2
Myanmar,2
Dominican Republic,1
Guatemala,1
Mali,1
Venezuela,1
Mauritania,1
Paraguay,1
Namibia,1
Botswana,1
